Title,Type,Priority,Epic,Story Points,Status,Labels,Body
"TASK 1.1.1: Fix SQL Injection Vulnerability",task,P0-Critical,epic:security,3,Todo,"bug,security","**Context:** Admin search uses unsafe string interpolation\n**File:** `app/admin/leads/page.tsx:97`\n\n**Acceptance:**\n- [ ] Replace string interpolation with parameterized queries\n- [ ] Add input validation with Zod\n- [ ] Test with malicious payloads\n- [ ] Document fix in security changelog"
"TASK 1.1.2: Fix XSS via dangerouslySetInnerHTML",task,P0-Critical,epic:security,5,Todo,"bug,security","**Context:** 6 files render unsanitized HTML/CSS\n**Files:** Multiple theme and content components\n\n**Acceptance:**\n- [ ] Audit all dangerouslySetInnerHTML usages\n- [ ] Install and configure DOMPurify\n- [ ] Create sanitize utilities module\n- [ ] Apply sanitization to all 6 identified files\n- [ ] Add CSP headers to all routes\n- [ ] Test with XSS payloads"
"TASK 1.1.3: Fix Bulk Update API Data Loss",task,P0-Critical,epic:security,5,Todo,"bug,security","**Context:** Uses in-memory Map instead of database\n**File:** `app/api/leads/bulk-update/route.ts`\n\n**Acceptance:**\n- [ ] Replace Map with Supabase queries\n- [ ] Add transaction support\n- [ ] Implement proper error handling\n- [ ] Add audit logging\n- [ ] Test with 100+ lead updates\n- [ ] Verify data persists across restarts"
"TASK 1.1.4: Enable Authentication on Admin Routes",task,P0-Critical,epic:security,3,Todo,"bug,security","**Context:** Auth check is commented out\n**File:** `app/admin/leads/page.tsx`\n\n**Acceptance:**\n- [ ] Uncomment and fix auth middleware\n- [ ] Add proper session validation\n- [ ] Test unauthorized access is blocked\n- [ ] Add redirect to login for unauthenticated users\n- [ ] Verify role-based access control"
"TASK 1.1.5: Fix RLS Policy Inadequacies",task,P0-Critical,epic:security,3,Todo,"bug,security","**Context:** Policies allow cross-tenant access\n**File:** `supabase/migrations/000_complete_schema.sql`\n\n**Acceptance:**\n- [ ] Audit all existing RLS policies\n- [ ] Create proper user-scoped policies\n- [ ] Add business_id filtering to all queries\n- [ ] Test cross-tenant isolation\n- [ ] Create migration for policy updates"
"TASK 1.1.6: Security Audit & Penetration Testing",task,P0-Critical,epic:security,5,Todo,"testing,security","**Acceptance:**\n- [ ] Run Snyk security scan\n- [ ] Run npm audit\n- [ ] Hire external penetration testing\n- [ ] Document all findings\n- [ ] Create remediation plan for any new issues\n- [ ] Obtain security sign-off"
"TASK 1.2.1: Set Up Security Scanning Tools",task,P1-High,epic:security,3,Todo,"tooling,security","**Acceptance:**\n- [ ] Install and configure Snyk\n- [ ] Set up GitGuardian for secret scanning\n- [ ] Configure Dependabot alerts\n- [ ] Set up pre-commit hooks with security checks\n- [ ] Document tool configurations"
"TASK 1.2.2: Implement Rate Limiting",task,P1-High,epic:security,5,Todo,"feature,security","**Context:** No rate limiting on any API routes\n\n**Acceptance:**\n- [ ] Set up Upstash Redis account\n- [ ] Create rate limiting utilities\n- [ ] Apply rate limits to login endpoint\n- [ ] Apply rate limits to API endpoints\n- [ ] Apply rate limits to bulk operations\n- [ ] Test rate limiting effectiveness\n- [ ] Document rate limit policies"
"TASK 1.2.3: Remove Console Logs from Production",task,P1-High,epic:security,3,Todo,"cleanup,security","**Context:** 545 console.log statements, some leak secrets\n\n**Acceptance:**\n- [ ] Identify and catalog all console.logs\n- [ ] Remove or replace with proper logger\n- [ ] Ensure no API keys in logs\n- [ ] Add ESLint rule to prevent future usage\n- [ ] Verify no sensitive data exposure"
"TASK 1.2.4: Create Security Incident Response Plan",task,P1-High,epic:security,2,Todo,"docs,security","**Acceptance:**\n- [ ] Document incident response procedures\n- [ ] Define escalation paths\n- [ ] Create security runbooks\n- [ ] Set up on-call rotation\n- [ ] Schedule tabletop exercise"
"TASK 2.1.1: Audit Existing Unit Tests",task,P1-High,epic:testing,3,Todo,"analysis,testing","**Acceptance:**\n- [ ] Run existing test suite\n- [ ] Measure current coverage\n- [ ] Identify gaps in coverage\n- [ ] Document which components lack tests\n- [ ] Create coverage baseline report"
"TASK 2.1.2: Write Unit Tests for Core Utilities",task,P1-High,epic:testing,5,Todo,"testing","**Target Files:**\n- `lib/utils.ts` - slugify, fillTemplate\n- `lib/validation.ts` - validation schemas\n- `lib/engine/compose.ts` - page composition\n- `lib/tokens/resolver.ts` - token resolution\n\n**Acceptance:**\n- [ ] Test all utility functions\n- [ ] Test edge cases\n- [ ] Test error conditions\n- [ ] Achieve 80%+ coverage on utilities"
"TASK 2.1.3: Write Unit Tests for Section Components",task,P1-High,epic:testing,8,Todo,"testing","**Target Components:**\n- HeroSection\n- ServicesSection\n- TeamSection\n- TestimonialsSection\n- ContactSection\n- BookingSection\n\n**Acceptance:**\n- [ ] Test component rendering\n- [ ] Test prop handling\n- [ ] Test interactive elements\n- [ ] Test accessibility attributes\n- [ ] Test responsive behavior"
"TASK 2.1.4: Write Unit Tests for API Utilities",task,P1-High,epic:testing,5,Todo,"testing","**Target:**\n- API route handlers\n- Supabase client wrappers\n- Data transformation functions\n\n**Acceptance:**\n- [ ] Test API utilities in isolation\n- [ ] Mock Supabase responses\n- [ ] Test error handling\n- [ ] Test data transformations"
"TASK 2.2.1: Write Integration Tests for API Routes",task,P1-High,epic:testing,5,Todo,"testing","**Target Routes:**\n- `/api/leads`\n- `/api/businesses`\n- `/api/generate`\n- `/api/webhooks/mercadopago`\n\n**Acceptance:**\n- [ ] Test happy paths\n- [ ] Test error scenarios\n- [ ] Test authentication\n- [ ] Test data persistence"
"TASK 2.2.2: Write Integration Tests for Database Layer",task,P1-High,epic:testing,5,Todo,"testing","**Acceptance:**\n- [ ] Test CRUD operations\n- [ ] Test RLS policies\n- [ ] Test transactions\n- [ ] Test connection pooling\n- [ ] Test query performance"
"TASK 2.2.3: Write Integration Tests for Site Generation",task,P1-High,epic:testing,3,Todo,"testing","**Acceptance:**\n- [ ] Test compose engine\n- [ ] Test renderer\n- [ ] Test token resolution\n- [ ] Test multi-page generation"
"TASK 2.3.1: Write E2E Tests for Critical User Flows",task,P2-Medium,epic:testing,8,Todo,"testing","**Flows:**\n- Admin login → Dashboard → Lead management\n- Generate preview site → View site\n- Bulk update leads\n- Site generation and preview\n\n**Acceptance:**\n- [ ] Cover critical happy paths\n- [ ] Test error states\n- [ ] Test across browsers\n- [ ] Run in CI pipeline"
"TASK 2.3.2: Write E2E Tests for Business Site Rendering",task,P2-Medium,epic:testing,8,Todo,"testing","**Acceptance:**\n- [ ] Test each business type renders correctly\n- [ ] Test all 21 section components\n- [ ] Test responsive layouts\n- [ ] Test theme switching\n- [ ] Test navigation"
"TASK 2.3.3: Set Up Visual Regression Testing",task,P2-Medium,epic:testing,5,Todo,"testing","**Acceptance:**\n- [ ] Configure Playwright for screenshots\n- [ ] Create baseline screenshots\n- [ ] Set up comparison workflow\n- [ ] Document visual testing process"
"TASK 2.4.1: Write Security Unit Tests",task,P1-High,epic:testing,5,Todo,"testing,security","**Acceptance:**\n- [ ] Test SQL injection prevention\n- [ ] Test XSS prevention\n- [ ] Test input sanitization\n- [ ] Test authentication enforcement"
"TASK 2.4.2: Write Security Integration Tests",task,P1-High,epic:testing,5,Todo,"testing,security","**Acceptance:**\n- [ ] Test rate limiting\n- [ ] Test CORS policies\n- [ ] Test CSRF protection\n- [ ] Test session management"
"TASK 2.4.3: Automate Security Testing in CI",task,P1-High,epic:testing,3,Todo,"tooling,testing,security","**Acceptance:**\n- [ ] Add security tests to CI pipeline\n- [ ] Configure Snyk in CI\n- [ ] Set up dependency scanning\n- [ ] Block PRs with vulnerabilities"
